都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
042030,0000000001,宮城県,塩竈市,「海商の館」旧亀井邸,「カイショウノヤカタ」キュウカメイテイ,,,宮城県塩竈市宮町5-5,,38.317661,141.015793,火曜日・水曜日・木曜日、年末年始 （イベント貸切等による臨時休館あり）,,,10:00～15:30（最終入館15分前）,無料,,「海商の館」旧亀井邸は、塩竈にある株式会社カメイの初代社長が1924年（大正13年）に建てた歴史的建造物。伝統的な和館に洋館を取り入れた「和洋併置式住宅」の建築様式を採用しており、現代の技術では再現が難しいとされるほど、極めて歴史的価値の高い建造物です。個人旅行客を対象に鹽竈神社および周辺の街なかをガイドする取り組みを実施しています。鹽竈神社裏坂を上り始めてすぐの左手にあるので、しおがま様参拝の途中に立ち寄ってみては？ひな祭りの時期にはレトロな世界でひな壇飾りを見ることもできます。,,JR仙石線「本塩釜」駅より徒歩10分,なし,,NPOみなとしおがま,022-364-0686,,,,,
041009,0000000002,宮城県,仙台市,ガラス工房　元,ガラスコウボウ　ゲン,,,宮城県仙台市太白区秋保町湯元字枇杷原西18,,38.225437,140.7285,火曜日,,,10:00～17:00,作品により異なります,,秋保温泉の入口にある「ガラス工房 元」。初心者でも気軽に吹きガラス体験ができるので、オリジナル作品作りに挑戦してみませんか。難しい作業や危険な作業はサポートしてもらえるので5歳位のお子様でも安心して体験可能（ただし保護者同伴）。グラス、小鉢、一輪挿し、お皿などから作りたい物を1点選び、約20色の中から好きな色を選んで混ぜるので、色選びもワクワク。熱したガラスを吹くのは、「楽しい！」「熱い！」「ガラスって柔らかい！」など驚きや発見がいっぱい。想像を超えた体験ができますよ。前日までに予約が必要で、当日は約30分の体験時間になります。作品のお渡しは翌日以降または後日発送。（送料別途）,,東北自動車道 仙台南ICより約10分,あり,,,022-398-4123,,,,https://sendai-experience.com/ja/ho/227,
042153,0000000003,宮城県,大崎市,鬼首かんけつ泉,オニコウベカンケツセン,,,宮城県大崎市鳴子温泉鬼首字吹上12,,38.827175,140.635757,"水曜日（GW、お盆、紅葉期間を除く）
12月～3月下旬は冬期休園、その他休園日あり（詳細はHPなどで要確認）",,,4月下旬?11月 9:00?16:30、3月下旬～ 4月下旬 10:00～15:00,大人500円、小・中学生200円,,鬼首かんけつ泉には、勢いよく吹き上がる2つの間欠泉「弁天」「雲竜」があります。「弁天」は約10分間隔で15メートル程噴出する間欠泉。地下にある空洞に地下水が溜まり、これが火山の熱源で熱せられ、一部が水蒸気となりその圧力で残りの熱湯が地上に噴き出すと考えられています。「雲竜」は10～20分間隔で4～5メートル噴出する間欠泉。垂直の穴に地下水が流れ込み、その下の火山熱で噴き出すというメカニズムが考えられているようです。吹き上がるのを待つ間、足湯を楽しむという手も。高温の湯を生かした温泉卵作り体験もできます。間欠泉から徒歩5分ほどに位置する日帰り温泉施設「すぱ鬼首の湯」で、のんびりと湯に浸かるのもおすすめです。,,"●東北自動車道 古川ICより50分
●JR陸羽東線「鳴子温泉駅」より車で20分
●大崎市営バス 鳴子温泉駅?鬼首温泉 「かんけつ泉」下車徒歩2分",あり,,,0229-86-2233,,,,http://kanketsusen.com/,
041009,0000000004,宮城県,仙台市,キリンビール仙台工場,キリンビールセンダイコウジョウ,,,宮城県仙台市宮城野区港2-2-1,,38.268124,140.993317,"月曜日（祝日の場合は翌日）、年末年始
（レストランの休業日はHPで要確認）",,,"工場見学 10:00～15:00
レストラン 11:00～22:00",,,日本を代表するビール「キリン一番搾り」。そのこだわりの製法やおいしさの秘密を発見できる工場見学のがここ。一番搾り麦汁と二番搾り麦汁の飲み比べができるのは希少な体験と好評です。製造過程を見学後には、贅沢に3種類もの一番搾りをいただけるのも嬉しいところ。（ドライバーや未成年者、妊娠中や授乳中の方にはノンアルコール飲料があります。）所要時間は80分。見学ツアーは事前にご予約を。レストランが併設されており、こちらでも工場直送のおいしいビールを楽しむことができます。オリジナルのノベルテイなどが買えるおみやげショップも人気。アクセスにはJR仙石線多賀城駅からの無料シャトルバス利用をオススメします。シャトルバスをご利用の場合はHPで運行時間をご確認ください。（工場見学の場合は、14時25分までのシャトルバスに乗車する必要あり。）,,"●仙台東部道路 仙台港I.C.より5分
●JR仙石線多賀城駅より無料シャトルバスあり",,,,"022-254-2992（工場見学）
022-387-7811（レストラン）",,,,https://www.kirin.co.jp/entertainment/factory/sendai/,
042153,0000000005,宮城県,大崎市,こけしの絵付け体験,,,,宮城県大崎市鳴子温泉字尿前74-2,,38.738598,140.702072,店舗による　※要確認,,,店舗による　※要確認,店舗による　※要確認,,宮城県の「こけし」には「鳴子」「遠刈田」「弥治郎」「作並」「肘折」の5つの系統があり、それぞれ模様や形が微妙に異なります。こけしの歴史や製造工程を学びながら、絵付け体験を楽しむことができます。●日本こけし館　宮城県大崎市鳴子温泉字尿前74-20229-83-3600（鳴子こけし）●みやぎ蔵王こけし館　宮城県刈田郡蔵王町遠刈田温泉字新地西裏山36-1350224-26-3393（遠刈田こけし）●弥治郎こけし村　宮城県白石市福岡八宮字弥治郎北72-10224-26-3993（弥治郎こけし）,,,,,日本こけし館（鳴子こけし）,0229-83-3600,,,,http://www.tohoku.meti.go.jp/s_cyusyo/densan-ver3/html/item/miyagi_01.htm,
041009,0000000006,宮城県,仙台市,スリーエム仙台市科学館,スリーエムセンダイシカガクカン,,,宮城県仙台市青葉区台原森林公園4-1,,38.299934,140.88205,詳しくは公式サイトでご確認ください,,,9:00～16:45（入館は16:00まで）,"一般 550円 （団体430円）
高校生 320円（団体260円）
小・中学生 210円（団体170円）",,スリーエム仙台市科学館は自然や科学について楽しく学べるサイエンススポット。子供と一緒に1日飽きずに遊べると人気です。展示室は、自然史系、理工系、生活系、屋外展示に分かれています。自然界のしくみを体験する展示室には、太平洋から奥羽山脈に広がる仙台の生きものが、島・干潟・平野・川・山に分けて展示されています。科学の不思議を体験する理工系展示室には、体の五感で確かめる展示がいっぱい。仙台で発明・発見された有名な科学技術や、科学の実験装置がたくさんあって、どれも参加・体験型であるのが特徴です。くらしの中の科学を体験する展示室には、生活の科学、趣味と遊びの科学や、環境の科学、フライトコーナーがあります。自分でメニューを選んで実験できるチャレンジ・ラボはオススメです。屋外展示には、岩石の間を巡りながら、見て、触れて、岩石それぞれの特徴や違いを調べられる「岩石園」などがあります。,,"●東北自動車道 仙台宮城ICより約30分
●東北自動車道 泉ICより約30分
●仙台市営地下鉄南北線「旭ヶ丘」駅下車徒歩約5分",あり,,,022-276-2201,,,,http://www.kagakukan.sendai-c.ed.jp/,
041009,0000000007,宮城県,仙台市,八木山動物公園フジサキの杜,ヤギヤマドウブツコウエンフジサキノモリ,,,宮城県仙台市太白区八木山本町1-43,,38.24556,140.845535,"毎週月曜日
（ただし月曜日が祝日や振替休日にあたる場合は、火曜日が休園日）
12/28から1/1、1/4
ただし、1/2と1/3は10:00～15:00まで正月特別開園します",,,"3/1から10/31まで9:00～16:45(ただし入園は16:00まで)
11/1から2/28まで9:00～16:00(ただし入園は15時まで)","一般（高校生以上）480円、年間パスポート1200円
小中学生120円、未就学児無料
（団体は大人380円、子供90円）",,約122種600頭の動物を飼育する東北最大級の動物園。アフリカゾウやキリンなどをひと目で見渡せる「アフリカ園」、スマトラトラやライオン、ホッキョクグマがいる「猛獣舎」、ヤギ・ヒツジや小動物とふれあえる「ふれあいの丘」、サル山、絶滅危惧種のクロサイやレッサーパンダなど見所いっぱい。一年を通じてさまざまな園内イベントを開催。※最新情報は公式サイト等でご確認ください。,,仙台市営地下鉄東西線「八木山動物公園」駅下車2分,370台,,八木山動物公園　案内窓口,022-229-0631,,,,https://www.city.sendai.jp/zoo/,
041009,0000000008,宮城県,仙台市,せんだいメディアテーク,センダイメディアテーク,,,宮城県仙台市青葉区春日町2-1,,38.2654,140.865295,"〇全館
第4木曜日（休日、12月を除く）/12月29日～1月3日

〇2～4階
月曜日（休日を除く）/休日の翌日（土日休日を除く）/第4木曜日（休日・12月を除く）/12月28日～1月4日",,,"せんだいメディアテーク 9:00?22:00
仙台市民図書館・映像音響ライブラリー 9:30?20:00（土曜・日曜・休日は18:00まで）",無料（イベントによっては有料）,,世界的建築家の伊東豊雄氏による設計の建物で、平成の10大建築1位の建築物です。アートギャラリーとシアターがあり、展覧会や映画会など、作品の発表や鑑賞ができます。映像音響ライブラリー、目の不自由な方のためのライブラリー、仙台市民図書館などもあり、最新の知識や情報の提供・収集を行っています。※最新情報は公式サイト等でご確認ください。,,"地下鉄：南北線勾当台公園駅下車、「公園2」出口から徒歩6分（約450メートル）。東西線大町西公園駅下車、「東1」出口または「西1」出口から徒歩13分。東西線青葉通一番町駅下車、「北1」出口から徒歩15分。
バス：仙台市営バス 仙台駅前-60番（仙台TRビル前、地下鉄仙台駅「中央2」出口前）のりばから「定禅寺通市役所前経由交通局大学病院」行き（系統番号がJまたはXで始まるバス）で約10分、メディアテーク前下車。
車：東北自動車道仙台宮城ICから約10分（約5.3キロメートル）",有料駐車場64台（うち車椅子対応5台）,,せんだいメディアテーク,022‐713‐3171,,,,http://www.smt.jp/,
041009,0000000009,宮城県,仙台市,ニッカウヰスキー 仙台工場 宮城峡蒸溜所,ニッカウイスキーセンダイコウジョウ　ミヤギキョウジョウリュウショ,,,宮城県仙台市青葉区ニッカ１番地,,38.309685,140.650238,2022年8月19日(金)・2022年12月24日(土)～2023年1月7日(土),,,"見学案内時間：9:00～11:30、12:30～15:30
電話＆FAX受付・売店：9:15～16:30",無料,,緑豊かな自然景観をそのまま生かした工場内には、蒸留棟や赤レンガの貯蔵庫、ゲストホールなどがあり、ウイスキーの製造工程やニッカウヰスキーの歴史について学ぶことができます。もちろんウイスキーの試飲もできます！（未成年やドライバーにはソフトドリンクあり。）見学所要時間約70分。原則、インターネットか電話またはFAXで予約が必要です。ショップだけの利用も可能です。車・バイク・自転車を運転する方、未成年の方、妊娠中・授乳期の方は酒類の試飲ができません。酒類の試飲をされる方は公共交通機関をご利用ください。また、土・日・祝日はJR作並駅より無料シャトルバスが運行されていますのでご利用ください。,,"●東北自動車道　仙台宮城ICより国道48号線を山形方面へ約25分
●JR作並駅より無料シャトルバスあり。片道所要約7分（土日祝のみ）",あり,,,022-395-2865,,,,https://www.nikka.com/guide/miyagikyo/about.html,
042021,0000000010,宮城県,石巻市,ベリーズファームFUSHIMI,ベリーズファームフシミ,,,宮城県石巻市蛇田字新沼田489-1,,38.441399,141.261353,公式サイトで確認してください,,,10:00～16:00 ※その日の食べ頃がなくなり次第終了,"大人1500円、小学生1000円、未就学児700円
※時期によって料金が変わるのでHPで確認を。",,子どもから大人まで楽しめる「いちご狩り」は人気のレジャー。中でも「ベリーズファームFUSHIMI」は開園前には行列が出来るほどの人気のいちご狩りスポットです。甘くて美味しいもぎたてイチゴが60分間食べ放題！時間が長いので、たくさん食べられるのが嬉しいところ。家族や友人同士で写真を撮ったり、味わって食べたりと、ゆっくり楽しめます。常設ベンチもあって快適。女性用トイレにはおむつ替えの場所もあり、小さなお子さまがいても安心です。10時からオープンし、その日の食べ頃がなくなり次第終了なので、お出かけの際には電話確認を。いちごは夜の温度が低い時間帯に糖分をたっぷり蓄えるので、美味しさの観点でも朝摘みできる早い時間に出かけるのがおすすめ。例年2月中旬～5月末頃までいちご狩りを楽しめますが、4月～5月は土日のみの営業になるので最新情報は公式サイトで確認してください。,,"●三陸自動車道 石巻河南ICより約10分
●JR仙石線虻田駅よりタクシー約10分",あり,,,080-6058-1583,,,,http://bf-fushimi.com/,
